fighter,elo
Cheick Kongo,1545.125309629367
Jorge Masvidal,1544.761631160528
Nik Lentz,1544.7298132026442
Brunno Ferreira,1544.706144383592
Jimmie Rivera,1544.6107788498464
Norman Parke,1544.4075220467087
Jeff Molina,1544.399634595427
Justin Willis,1544.3666390268136
Chris Padilla,1544.2810251627393
Chan Sung Jung,1544.0977919457407
Luana Santos,1544.091744441441
Marquel Mederos,1544.0731601340983
Leonardo Santos,1544.0059267292722
Evan Dunham,1543.9305272310332
Jj Aldrich,1543.8152458828013
Michael Page,1543.7117720809315
Brad Tavares,1543.5096608522076
Kyung Ho Kang,1543.3821775482215
Bo Nickal,1543.0525242451772
Rodolfo Vieira,1542.9885933937085
Abus Magomedov,1542.957082354637
Gray Maynard,1542.9540302315197
Urijah Faber,1542.93417608188
Stevie Ray,1542.859049576671
Nate Maness,1542.7733143209555
Damir Ismagulov,1542.3322871650487
Alan Jouban,1542.2754701110239
Kevin Lee,1541.9955223546995
Kyler Phillips,1541.6066736844348
Abel Trujillo,1541.5627378256177
Ricco Rodriguez,1541.5213734381698
Bas Rutten,1541.4512942033907
Said Nurmagomedov,1541.4342852491761
Alex Caceres,1541.3608320443109
Evan Tanner,1541.1689244629576
Dennis Siver,1541.1290851293652
Pedro Rizzo,1541.1086917407245
Joselyne Edwards,1540.979969907871
Ikram Aliskerov,1540.7795283885655
Patrick Smith,1540.741103178102
Jerry Bohlander,1540.4400269494652
Irene Aldana,1540.4375397158958
Terrance Mckinney,1540.3959790240006
Chris Wade,1540.3943487888716
Michal Oleksiejczuk,1540.1582444526287
Serghei Spivac,1540.1409656364194
Al Iaquinta,1540.12259183472
Jon Madsen,1540.0225843599396
Vitor Petrino,1539.7989458153054
Laverne Clark,1539.6913918787595
Jessica Andrade,1539.5968313877956
Alatengheili,1539.2058190288674
Adrian Yanez,1539.0856816553326
Davey Grant,1539.0784013556238
Uriah Hall,1538.9093010201827
Chris Holdsworth,1538.8359327072899
Casey O'Neill,1538.8221969293718
Francis Carmont,1538.7060367010429
Jussier Formiga,1538.5985316923247
Dan Hardy,1538.428234898821
Luke Rockhold,1538.4088270037796
Donald Cerrone,1537.951600849978
Aaron Simpson,1537.7852589803695
Dustin Ortiz,1537.7472414097663
Luana Carolina,1537.622550180216
Sean Pierson,1537.3627908275555
Nikita Krylov,1537.3579390733844
Alejandro Perez,1537.0576803577503
Shane Carwin,1537.0120451137423
Ryan Spann,1536.8800138437048
Hyunsung Park,1536.6262797275656
Aleksandar Rakic,1536.423407142275
Esteban Ribovics,1536.3799578976332
Charles Johnson,1536.2234530614828
Jacare Souza,1536.090825359315
Travis Browne,1536.0857608262397
Michael Mcdonald,1536.041804594618
Jack Shore,1535.9254281059243
Darren Till,1535.5973837616223
Marco Ruas,1535.1615246726533
Cezar Ferreira,1535.0821504376554
Roman Kopylov,1534.8532452737559
Diego Brandao,1534.647146802124
Ilir Latifi,1534.5906798437227
Josh Koscheck,1534.504510373726
Karo Parisyan,1534.3748129760468
Matheus Nicolau,1534.3542823150965
Shamil Gaziev,1534.3531223131888
Daniel Santos,1534.3367449120963
Daniel Marcos,1534.3315878332446
Casey Kenney,1534.2767155582305
Chael Sonnen,1534.1351108200186
Jean Matsumoto,1534.1317866692416
Allan Nascimento,1534.1271250766704
Joanderson Brito,1534.0086900327533
Philipe Lins,1533.8562996463534
Myktybek Orolbai,1533.835027244437
Kurt Pellegrino,1533.6752155456234
Themba Gorimbo,1533.6124156670282
Miles Johns,1533.6072188429137
Krzysztof Soszynski,1533.4747203437812
Renato Sobral,1533.222328128012
Mason Jones,1533.2030682238155
Kai Kara-France,1533.1706292038373
Michael Johnson,1533.149970903292
Azamat Bekoev,1533.069037941696
Shawn Jordan,1533.0521631368024
Mark Madsen,1532.9347643399772
Ramazan Temirov,1532.8927394379407
